file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,num_offset_move,total_move_dis,bigmov_dis,offset_dis,average_movement
qft 5 full code fidelity,0.7586884159935687,1,0.904610480274618,0.9276563692349433,0.9249283295681432,0.977477176786558,0.9985145586857606,20,14,78,132,27,105,39.63157894736844,26.842105263157894,12.78947368421051,39.3375366437669
qft 6 full code fidelity,0.6538681552725262,1,0.8603841919146966,0.8867871865156691,0.888643586114708,0.9643856613330751,0.9980731886328762,30,18,118,176,35,141,52.05263157894745,34.8421052631579,17.210526315789444,39.054867040649185
qft 7 full code fidelity,0.5463096573283174,1,0.8101573778154735,0.8392731030692049,0.8469758853683546,0.9486262450282924,0.9976318185799917,42,22,166,220,43,177,64.47368421052646,42.8421052631579,21.63157894736839,38.88526527877856
qft 8 full code fidelity,0.4424932107741497,1,0.7552531090661903,0.786391514168376,0.8008264083574377,0.9303296991720634,0.9971904485271074,56,26,222,264,51,213,76.89473684210547,50.8421052631579,26.052631578947334,38.77219743753147
qft 9 full code fidelity,0.34744852032842793,1,0.6970466008354952,0.7295010968306057,0.7511551214098502,0.9096473757827119,0.996749078474223,72,30,286,308,59,249,89.3157894736845,58.8421052631579,30.47368421052628,38.69143469378355
qft 10 full code fidelity,0.26447675063057025,1,0.6369088258938784,0.6699844104191454,0.6989478686545437,0.8867490892237816,0.9963077084213385,90,34,358,352,67,285,101.73684210526353,66.84210526315789,34.89473684210527,38.63086263597261
qft 11 full code fidelity,0.1951617767499434,1,0.5761543988830041,0.6091932225498211,0.6451843777173254,0.8618208072742074,0.9958663383684542,110,38,438,396,75,321,114.15789473684256,74.84210526315789,39.315789473684276,38.583751035453
qft 12 full code fidelity,0.13960767472078942,1,0.515996384293716,0.5483994948939686,0.5908085978922368,0.8350621171232414,0.9954249683155697,132,42,526,440,83,357,126.5789473684216,82.84210526315789,43.736842105263285,38.5460617550373
qft 13 full code fidelity,0.0968117620343623,1,0.4575100055400053,0.4887543622601732,0.5367025720391544,0.8066835579446109,0.9949835982626853,156,46,622,484,91,393,139.00000000000065,90.84210526315789,48.157894736842294,38.515225071060826
qft 14 full code fidelity,0.06508010797801297,1,0.4016064652978159,0.4312567091588406,0.48366476711039347,0.776903812184433,0.9945422282098009,182,50,726,528,99,429,151.42105263157973,98.84210526315789,52.578947368421304,38.48952783441376
